point query Linear
chunk size, average elapsed time
24876977records have been loaded.
data have been inserted
chunk size, start_pos, end_pos 10000999
1000, 1999, 1106, 1239
1000, 1999, 1107, 1741
1000, 1999, 1108, 1421
1000, 1999, 1109, 940
1000, 1999, 1110, 576
1000, 1999, 1111, 1906
1000, 1999, 1112, 995
1000, 1999, 1113, 1743
1000, 1999, 1114, 1126
1000, 1999, 1115, 537
1000, 1999, 1116, 1142
1000, 1999, 1117, 1086
1000, 1999, 1118, 1615
1000, 1999, 1119, 1140
1000, 1999, 1120, 124
1000, 1999, 1121, 195
1000, 1999, 1122, 850
1000, 1999, 1123, 1053
1000, 1999, 1124, 200
1000, 1999, 1125, 617
1000, 1999, 1126, 693
1000, 1999, 1127, 124
1000, 1999, 1128, 946
1000, 1999, 1129, 2183
1000, 1999, 1130, 1033
1000, 1999, 1131, 226
1000, 1999, 1132, 1914
1000, 1999, 1133, 1004
1000, 1999, 1134, 1332
1000, 1999, 1135, 560
1000, 1999, 1136, 1243
1000, 1999, 1137, 1349
1000, 1999, 1138, 2087
1000, 1999, 1139, 965
1000, 1999, 1140, 1357
1000, 1999, 1141, 545
1000, 1999, 1142, 523
1000, 1999, 1143, 369
1000, 1999, 1144, 1173
1000, 1999, 1145, 1201
1000, 1999, 1146, 998
1000, 1999, 1147, 75
1000, 1999, 1148, 1373
1000, 1999, 1149, 899
1000, 1999, 1150, 1306
